time,lat,lon,NO2,name,hpbl,press,rh,tmp,wspd,dpt,ndvi,omi_no2,pd,rd
2019-07-09,21.0491,105.8831,43.43425833,NVC,,,,,,,,,,
2019-07-10,21.0491,105.8831,42.954525,NVC,,,,,,,,,,
2019-07-11,21.0491,105.8831,52.14895,NVC,,,,,,,,,,
2019-07-12,21.0491,105.8831,45.72815833,NVC,,,,,,,,,,
2019-07-13,21.0491,105.8831,48.42082917,NVC,,,,,,,,,,
2019-07-14,21.0491,105.8831,34.14545833,NVC,,,,,,,,,,
2019-07-15,21.0491,105.8831,48.372775,NVC,,,,,,,,,,
2019-07-16,21.0491,105.8831,56.3461625,NVC,,,,,,,,,,
2019-07-17,21.0491,105.8831,48.38278333,NVC,,,,,,,,,,
2019-07-18,21.0491,105.8831,48.74253333,NVC,,,,,,,,,,
2019-07-19,21.0491,105.8831,54.95901667,NVC,,,,,,,,,,
2019-07-20,21.0491,105.8831,48.0907125,NVC,,,,,,,,,,
2019-07-21,21.0491,105.8831,52.73525833,NVC,,,,,,,,,,
2019-07-22,21.0491,105.8831,57.64532083,NVC,,,,,,,,,,
2019-07-23,21.0491,105.8831,57.0124625,NVC,,,,,,,,,,
2019-07-24,21.0491,105.8831,49.48176957,NVC,,,,,,,,,,
2019-07-25,21.0491,105.8831,45.158925,NVC,,,,,,,,,,
2019-07-26,21.0491,105.8831,50.85653333,NVC,,,,,,,,,,
2019-07-27,21.0491,105.8831,41.12938333,NVC,,,,,,,,,,
2019-07-28,21.0491,105.8831,41.19133043,NVC,,,,,,,,,,
2019-07-29,21.0491,105.8831,49.3284,NVC,,,,,,,,,,
2019-07-30,21.0491,105.8831,49.02702083,NVC,,,,,,,,,,
2019-07-31,21.0491,105.8831,31.8403125,NVC,,,,,,,,,,
2019-08-01,21.0491,105.8831,37.82695,NVC,,,,,,,,,,
2019-08-02,21.0491,105.8831,29.08005417,NVC,,,,,,,,,,
2019-08-03,21.0491,105.8831,17.40614583,NVC,,,,,,,,,,
2019-08-04,21.0491,105.8831,33.16021667,NVC,,,,,,,,,,
2019-08-05,21.0491,105.8831,41.34910417,NVC,,,,,,,,,,
2019-08-06,21.0491,105.8831,39.82700417,NVC,,,,,,,,,,
2019-08-07,21.0491,105.8831,54.19024167,NVC,,,,,,,,,,
2019-08-08,21.0491,105.8831,42.4082,NVC,,,,,,,,,,
2019-08-09,21.0491,105.8831,37.09191667,NVC,,,,,,,,,,
2019-08-10,21.0491,105.8831,34.93764167,NVC,,,,,,,,,,
2019-08-11,21.0491,105.8831,32.08759167,NVC,,,,,,,,,,
2019-08-12,21.0491,105.8831,17.0826125,NVC,,,,,,,,,,
2019-08-13,21.0491,105.8831,19.32691667,NVC,,,,,,,,,,
2019-08-14,21.0491,105.8831,20.378175,NVC,,,,,,,,,,
2019-08-15,21.0491,105.8831,18.82292083,NVC,,,,,,,,,,
2019-08-16,21.0491,105.8831,21.5003,NVC,,,,,,,,,,
2019-08-17,21.0491,105.8831,17.59695833,NVC,,,,,,,,,,
2019-08-18,21.0491,105.8831,15.62957083,NVC,,,,,,,,,,
2019-08-19,21.0491,105.8831,20.1235875,NVC,,,,,,,,,,
2019-08-20,21.0491,105.8831,22.37304583,NVC,,,,,,,,,,
2019-08-21,21.0491,105.8831,19.15226667,NVC,,,,,,,,,,
2019-08-22,21.0491,105.8831,20.78779583,NVC,,,,,,,,,,
2019-08-23,21.0491,105.8831,12.31244583,NVC,,,,,,,,,,
2019-08-24,21.0491,105.8831,13.4064875,NVC,,,,,,,,,,
2019-08-25,21.0491,105.8831,16.700175,NVC,,,,,,,,,,
2019-08-26,21.0491,105.8831,16.563375,NVC,,,,,,,,,,
2019-09-14,21.0491,105.8831,23.57847333,NVC,,,,,,,,,,
2019-09-15,21.0491,105.8831,19.91643333,NVC,,,,,,,,,,
2019-09-16,21.0491,105.8831,22.3648375,NVC,,,,,,,,,,
2019-09-17,21.0491,105.8831,18.1715375,NVC,,,,,,,,,,
2019-09-18,21.0491,105.8831,12.88635833,NVC,,,,,,,,,,
2019-09-19,21.0491,105.8831,14.71381667,NVC,,,,,,,,,,
2019-09-20,21.0491,105.8831,15.12068333,NVC,,,,,,,,,,
2019-09-21,21.0491,105.8831,13.3409625,NVC,,,,,,,,,,
2019-09-22,21.0491,105.8831,21.3963875,NVC,,,,,,,,,,
2019-09-23,21.0491,105.8831,31.77556667,NVC,,,,,,,,,,
2019-09-24,21.0491,105.8831,36.22986667,NVC,,,,,,,,,,
2019-09-25,21.0491,105.8831,34.77798333,NVC,,,,,,,,,,
2019-09-26,21.0491,105.8831,30.73019167,NVC,,,,,,,,,,
2019-09-27,21.0491,105.8831,37.4891125,NVC,,,,,,,,,,
2019-09-28,21.0491,105.8831,42.5454375,NVC,,,,,,,,,,
2019-09-29,21.0491,105.8831,38.27254583,NVC,,,,,,,,,,
2019-09-30,21.0491,105.8831,32.89493333,NVC,,,,,,,,,,
2019-10-01,21.0491,105.8831,34.71972917,NVC,,,,,,,,,,
2019-10-02,21.0491,105.8831,29.08348333,NVC,,,,,,,,,,
2019-10-03,21.0491,105.8831,22.34040417,NVC,,,,,,,,,,
2019-10-04,21.0491,105.8831,26.72764167,NVC,,,,,,,,,,
2019-10-05,21.0491,105.8831,21.10955833,NVC,,,,,,,,,,
2019-10-06,21.0491,105.8831,16.61760833,NVC,,,,,,,,,,
2019-10-07,21.0491,105.8831,20.65506667,NVC,,,,,,,,,,
2019-10-08,21.0491,105.8831,11.62312917,NVC,,,,,,,,,,
2019-10-09,21.0491,105.8831,12.56427083,NVC,,,,,,,,,,
2019-10-10,21.0491,105.8831,18.9671125,NVC,,,,,,,,,,
2019-10-11,21.0491,105.8831,20.16855417,NVC,,,,,,,,,,
2019-10-12,21.0491,105.8831,20.2691,NVC,,,,,,,,,,
2019-10-13,21.0491,105.8831,17.84774583,NVC,,,,,,,,,,
2019-10-14,21.0491,105.8831,11.66182667,NVC,,,,,,,,,,
2019-10-15,21.0491,105.8831,12.87315833,NVC,,,,,,,,,,
2019-10-16,21.0491,105.8831,13.09374783,NVC,,,,,,,,,,
2019-10-17,21.0491,105.8831,,NVC,,,,,,,,,,
2019-10-18,21.0491,105.8831,3.8342,NVC,,,,,,,,,,
2019-10-19,21.0491,105.8831,,NVC,,,,,,,,,,
2019-10-20,21.0491,105.8831,,NVC,,,,,,,,,,
2019-10-21,21.0491,105.8831,43.39814444,NVC,,,,,,,,,,
2019-10-22,21.0491,105.8831,38.38500833,NVC,,,,,,,,,,
2019-10-23,21.0491,105.8831,36.71877083,NVC,,,,,,,,,,
2019-10-24,21.0491,105.8831,21.48254583,NVC,,,,,,,,,,
2019-10-25,21.0491,105.8831,29.25846667,NVC,,,,,,,,,,
2019-10-26,21.0491,105.8831,36.63455,NVC,,,,,,,,,,
2019-10-27,21.0491,105.8831,36.23085833,NVC,,,,,,,,,,
2019-10-28,21.0491,105.8831,26.41219583,NVC,,,,,,,,,,
2019-10-29,21.0491,105.8831,30.24315833,NVC,,,,,,,,,,
2019-10-30,21.0491,105.8831,40.49410833,NVC,,,,,,,,,,
2019-10-31,21.0491,105.8831,40.5961625,NVC,,,,,,,,,,
2019-11-01,21.0491,105.8831,26.89618333,NVC,,,,,,,,,,
2019-11-02,21.0491,105.8831,21.3650125,NVC,,,,,,,,,,
2019-11-03,21.0491,105.8831,27.381725,NVC,,,,,,,,,,
2019-11-04,21.0491,105.8831,33.78863333,NVC,,,,,,,,,,
2019-11-05,21.0491,105.8831,47.60164583,NVC,,,,,,,,,,
2019-11-06,21.0491,105.8831,68.08683333,NVC,,,,,,,,,,
2019-11-07,21.0491,105.8831,48.96129583,NVC,,,,,,,,,,
2019-11-08,21.0491,105.8831,50.68065833,NVC,,,,,,,,,,
2019-11-09,21.0491,105.8831,62.8548875,NVC,,,,,,,,,,
2019-11-10,21.0491,105.8831,45.57489167,NVC,,,,,,,,,,
2019-11-11,21.0491,105.8831,56.48955417,NVC,,,,,,,,,,
2019-11-12,21.0491,105.8831,57.18548333,NVC,,,,,,,,,,
2019-11-13,21.0491,105.8831,36.43708333,NVC,,,,,,,,,,
2019-11-14,21.0491,105.8831,33.4351375,NVC,,,,,,,,,,
2019-11-15,21.0491,105.8831,54.10021667,NVC,,,,,,,,,,
2019-11-16,21.0491,105.8831,39.761225,NVC,,,,,,,,,,
2019-11-17,21.0491,105.8831,30.55204167,NVC,,,,,,,,,,
2019-11-18,21.0491,105.8831,30.0394125,NVC,,,,,,,,,,
2019-11-19,21.0491,105.8831,25.02940833,NVC,,,,,,,,,,
2019-11-20,21.0491,105.8831,34.57005833,NVC,,,,,,,,,,
2019-11-21,21.0491,105.8831,37.31212917,NVC,,,,,,,,,,
2019-11-22,21.0491,105.8831,52.30996667,NVC,,,,,,,,,,
2019-11-23,21.0491,105.8831,56.95712083,NVC,,,,,,,,,,
2019-11-24,21.0491,105.8831,46.96312083,NVC,,,,,,,,,,
2019-11-25,21.0491,105.8831,58.92285417,NVC,,,,,,,,,,
2019-11-26,21.0491,105.8831,41.62343333,NVC,,,,,,,,,,
2019-11-27,21.0491,105.8831,47.75804167,NVC,,,,,,,,,,
2019-11-28,21.0491,105.8831,24.67475,NVC,,,,,,,,,,
2019-11-29,21.0491,105.8831,45.105625,NVC,,,,,,,,,,
2019-11-30,21.0491,105.8831,56.88715833,NVC,,,,,,,,,,
2019-12-01,21.0491,105.8831,42.97079583,NVC,,,,,,,,,,
2019-12-02,21.0491,105.8831,23.454375,NVC,,,,,,,,,,
2019-12-03,21.0491,105.8831,39.63131667,NVC,,,,,,,,,,
2019-12-04,21.0491,105.8831,40.11655833,NVC,,,,,,,,,,
2019-12-05,21.0491,105.8831,30.9210625,NVC,,,,,,,,,,
2019-12-06,21.0491,105.8831,31.4200375,NVC,,,,,,,,,,
2019-12-07,21.0491,105.8831,45.602825,NVC,,,,,,,,,,
2019-12-08,21.0491,105.8831,55.2012125,NVC,,,,,,,,,,
2019-12-09,21.0491,105.8831,63.45713333,NVC,,,,,,,,,,
2019-12-10,21.0491,105.8831,66.36175417,NVC,,,,,,,,,,
2019-12-11,21.0491,105.8831,70.82598333,NVC,,,,,,,,,,
2019-12-12,21.0491,105.8831,59.71858333,NVC,,,,,,,,,,
2019-12-13,21.0491,105.8831,67.319125,NVC,,,,,,,,,,
2019-12-14,21.0491,105.8831,50.4035,NVC,,,,,,,,,,
2019-12-15,21.0491,105.8831,41.4933625,NVC,,,,,,,,,,
2019-12-16,21.0491,105.8831,24.38514,NVC,,,,,,,,,,
2019-12-17,21.0491,105.8831,37.09783333,NVC,,,,,,,,,,
2019-12-18,21.0491,105.8831,23.2062125,NVC,,,,,,,,,,
2019-12-19,21.0491,105.8831,27.8437875,NVC,,,,,,,,,,
2019-12-20,21.0491,105.8831,27.93581667,NVC,,,,,,,,,,
2019-12-21,21.0491,105.8831,23.86530833,NVC,,,,,,,,,,
2019-12-22,21.0491,105.8831,22.3495625,NVC,,,,,,,,,,
2019-12-23,21.0491,105.8831,25.03962917,NVC,,,,,,,,,,
2019-12-24,21.0491,105.8831,40.68674211,NVC,,,,,,,,,,
2019-12-25,21.0491,105.8831,30.43861875,NVC,,,,,,,,,,
2019-12-26,21.0491,105.8831,34.48037917,NVC,,,,,,,,,,
2019-12-27,21.0491,105.8831,23.3642125,NVC,,,,,,,,,,
2019-12-28,21.0491,105.8831,38.0407625,NVC,,,,,,,,,,
2019-12-29,21.0491,105.8831,44.35678333,NVC,,,,,,,,,,
2019-12-30,21.0491,105.8831,47.93929167,NVC,,,,,,,,,,
2019-12-31,21.0491,105.8831,42.03465833,NVC,,,,,,,,,,
2019-01-01,21.0152,105.7999,13.92208333,ChiCuc,,,,,,,,,,
2019-01-02,21.0152,105.7999,17.94083333,ChiCuc,,,,,,,,,,
2019-01-03,21.0152,105.7999,21.29875,ChiCuc,,,,,,,,,,
2019-01-04,21.0152,105.7999,28.055,ChiCuc,,,,,,,,,,
2019-01-05,21.0152,105.7999,27.72541667,ChiCuc,,,,,,,,,,
2019-01-06,21.0152,105.7999,22.17333333,ChiCuc,,,,,,,,,,
2019-01-07,21.0152,105.7999,20.06625,ChiCuc,,,,,,,,,,
2019-01-08,21.0152,105.7999,7.333333333,ChiCuc,,,,,,,,,,
2019-01-09,21.0152,105.7999,15.05208333,ChiCuc,,,,,,,,,,
2019-01-10,21.0152,105.7999,19.23708333,ChiCuc,,,,,,,,,,
2019-01-11,21.0152,105.7999,11.46791667,ChiCuc,,,,,,,,,,
2019-01-12,21.0152,105.7999,12.42208333,ChiCuc,,,,,,,,,,
2019-01-13,21.0152,105.7999,19.17333333,ChiCuc,,,,,,,,,,
2019-01-14,21.0152,105.7999,18.1225,ChiCuc,,,,,,,,,,
2019-01-15,21.0152,105.7999,21.34375,ChiCuc,,,,,,,,,,
2019-01-16,21.0152,105.7999,29.61625,ChiCuc,,,,,,,,,,
2019-01-17,21.0152,105.7999,37.44916667,ChiCuc,,,,,,,,,,
2019-01-18,21.0152,105.7999,52.06125,ChiCuc,,,,,,,,,,
2019-01-19,21.0152,105.7999,77.23375,ChiCuc,,,,,,,,,,
2019-01-20,21.0152,105.7999,71.795,ChiCuc,,,,,,,,,,
2019-01-21,21.0152,105.7999,31.60083333,ChiCuc,,,,,,,,,,
2019-01-22,21.0152,105.7999,46.34,ChiCuc,,,,,,,,,,
2019-01-23,21.0152,105.7999,77.14833333,ChiCuc,,,,,,,,,,
2019-01-24,21.0152,105.7999,69.26208333,ChiCuc,,,,,,,,,,
2019-01-25,21.0152,105.7999,55.83625,ChiCuc,,,,,,,,,,
2019-01-26,21.0152,105.7999,43.50041667,ChiCuc,,,,,,,,,,
2019-01-27,21.0152,105.7999,56.02625,ChiCuc,,,,,,,,,,
2019-01-28,21.0152,105.7999,29.48416667,ChiCuc,,,,,,,,,,
2019-01-29,21.0152,105.7999,37.02416667,ChiCuc,,,,,,,,,,
2019-01-30,21.0152,105.7999,24.89958333,ChiCuc,,,,,,,,,,
2019-01-31,21.0152,105.7999,23.68833333,ChiCuc,,,,,,,,,,
2019-02-01,21.0152,105.7999,23.72333333,ChiCuc,,,,,,,,,,
2019-02-02,21.0152,105.7999,27.36833333,ChiCuc,,,,,,,,,,
2019-02-03,21.0152,105.7999,18.3425,ChiCuc,,,,,,,,,,
2019-02-04,21.0152,105.7999,12.58291667,ChiCuc,,,,,,,,,,
2019-02-05,21.0152,105.7999,18.37541667,ChiCuc,,,,,,,,,,
2019-02-06,21.0152,105.7999,19.30916667,ChiCuc,,,,,,,,,,
2019-02-07,21.0152,105.7999,15.95583333,ChiCuc,,,,,,,,,,
2019-02-08,21.0152,105.7999,19.3025,ChiCuc,,,,,,,,,,
2019-02-09,21.0152,105.7999,15.87375,ChiCuc,,,,,,,,,,
2019-02-10,21.0152,105.7999,12.44958333,ChiCuc,,,,,,,,,,
2019-02-11,21.0152,105.7999,20.6075,ChiCuc,,,,,,,,,,
2019-02-12,21.0152,105.7999,30.71375,ChiCuc,,,,,,,,,,
2019-02-13,21.0152,105.7999,25.38541667,ChiCuc,,,,,,,,,,
2019-02-14,21.0152,105.7999,20.26958333,ChiCuc,,,,,,,,,,
