time,lat,lon,NO2,name,hpbl,press,rh,tmp,wspd,dpt,ndvi,omi_no2,pd,rd
20190204,21.0491,105.8831,23.4062,NVC,245.6401062,101638.6719,86.1353302,20.16399956,3.148388863,17.59998438,0.225761119,,27.72258759,1828.877441
20190205,21.0491,105.8831,21.15215833,NVC,330.0770569,101444.0313,87.5480957,19.51795387,2.25560236,17.24704688,0.225761119,,27.72258759,1828.877441
20190206,21.0491,105.8831,14.1924875,NVC,399.406189,100959.75,83.10263062,22.47106171,5.391118526,19.10065625,0.225761119,,27.72258759,1828.877441
20190207,21.0491,105.8831,25.52897083,NVC,259.5059814,100965.2969,76.88774109,23.76939011,3.418352604,18.69251563,0.225761119,9.22E-05,27.72258759,1828.877441
20190208,21.0491,105.8831,33.07019167,NVC,273.2281799,100962.5078,76.98867798,22.42918777,3.826060057,17.53171875,0.225761119,4.82E-05,27.72258759,1828.877441
20190209,21.0491,105.8831,30.98872917,NVC,383.3152771,101587.9688,76.69641876,19.23128128,4.571475506,14.7599375,0.225761119,,27.72258759,1828.877441
20190210,21.0491,105.8831,22.64964583,NVC,474.7432251,102130.0156,70.92675781,17.56896782,4.652754784,12.095125,0.225761119,,27.72258759,1828.877441
20190211,21.0491,105.8831,25.22201667,NVC,330.4370728,102433.5938,64.50910187,15.90725136,2.735793591,9.041453125,0.225761119,,27.72258759,1828.877441
20190212,21.0491,105.8831,27.4532125,NVC,394.2336426,102159.5938,76.19537354,18.07378197,2.543481588,13.40921875,0.225761119,,27.72258759,1828.877441
20190213,21.0491,105.8831,28.62477917,NVC,340.2131348,101918.1094,84.68164063,19.18242264,3.402964115,16.22065625,0.225761119,,27.72258759,1828.877441
20190214,21.0491,105.8831,31.817375,NVC,407.1317749,101786.2422,84.98196411,19.54453087,3.142821789,16.66409375,0.225761119,,27.72258759,1828.877441
20190215,21.0491,105.8831,27.85900833,NVC,366.6737366,101766.5156,83.57644653,19.9951725,2.71119976,16.86817188,0.225761119,,27.72258759,1828.877441
20190216,21.0491,105.8831,24.76249167,NVC,380.8404846,101628.2188,80.71022034,19.42385864,3.528821468,15.77059375,0.225761119,,27.72258759,1828.877441
20190217,21.0491,105.8831,20.91912083,NVC,386.8473206,101432.5313,74.28047943,18.49876595,3.737004519,13.53142188,0.225761119,,27.72258759,1828.877441
20190218,21.0491,105.8831,44.49105833,NVC,322.9152527,101185.8281,84.16387177,20.2593441,3.948135853,17.31896875,0.225761119,,27.72258759,1828.877441
20190219,21.0491,105.8831,37.250525,NVC,310.6847534,101450.8672,81.51029968,20.11462593,4.28192997,16.69414063,0.225761119,,27.72258759,1828.877441
20190220,21.0491,105.8831,24.7162625,NVC,302.7040405,101482.9531,84.42233276,22.55374908,4.43208456,19.56271875,0.225761119,,27.72258759,1828.877441
20190221,21.0491,105.8831,29.8196125,NVC,302.4492188,101672.3125,78.81169891,20.14743805,4.534309387,16.18382813,0.225761119,,27.72258759,1828.877441
20190222,21.0491,105.8831,29.31253333,NVC,269.0141907,101737.5625,66.18983459,16.35199928,2.114556551,9.941265625,0.225761119,,27.72258759,1828.877441
20190223,21.0491,105.8831,20.543125,NVC,443.859314,101650.0547,72.34264374,16.69886017,4.939014435,11.54917188,0.225761119,,27.72258759,1828.877441
20190224,21.0491,105.8831,28.28814583,NVC,299.5429077,101722.0078,62.9381485,15.98893642,1.787164688,8.82715625,0.225761119,,27.72258759,1828.877441
20190225,21.0491,105.8831,30.46708333,NVC,339.2924194,101637.1484,72.91691589,17.71217155,2.206064224,12.47571875,0.225761119,,27.72258759,1828.877441
20190226,21.0491,105.8831,33.71902917,NVC,466.4207764,101340.4766,74.80497742,20.35053062,4.455578804,15.32054688,0.225761119,,27.72258759,1828.877441
20190227,21.0491,105.8831,52.12087083,NVC,443.4324036,101126.5391,81.71638489,22.65809441,4.297950745,19.05465625,0.225761119,,27.72258759,1828.877441
20190228,21.0491,105.8831,43.51987083,NVC,361.4199524,101234.5313,83.31130219,21.33760834,5.22259903,18.21053125,0.225761119,,27.72258759,1828.877441
20190301,21.0491,105.8831,28.05015,NVC,468.132782,101152.5938,80.05921173,22.10787392,5.095657349,18.1948125,0.098759424,,27.72258759,1828.877441
20190302,21.0491,105.8831,30.48475417,NVC,452.5133667,100837.6719,78.89402008,23.53515625,3.995579004,19.20348438,0.098759424,,27.72258759,1828.877441
20190303,21.0491,105.8831,36.64037083,NVC,346.765686,101042.0938,71.75744629,21.58146858,4.528798103,16.0658125,0.098759424,,27.72258759,1828.877441
20190304,21.0491,105.8831,38.8140125,NVC,305.3269653,100784.75,80.79981995,22.1853447,6.186265945,18.54834375,0.098759424,,27.72258759,1828.877441
20190305,21.0491,105.8831,16.72304,NVC,431.4419556,100692.5313,78.74581146,25.14007759,4.843770981,20.5669375,0.098759424,,27.72258759,1828.877441
20190307,21.0491,105.8831,29.26011111,NVC,523.0187378,101386.6563,69.59851837,20.37417221,4.332450867,14.50421875,0.098759424,,27.72258759,1828.877441
20190308,21.0491,105.8831,20.61080909,NVC,420.1446838,101212.4844,76.83166504,20.20242119,3.819362164,15.85251563,0.098759424,,27.72258759,1828.877441
20190312,21.0491,105.8831,73.4878,NVC,501.6478577,101241.5391,66.56166077,22.31357765,3.938908815,15.22698438,0.098759424,,27.72258759,1828.877441
